2017-02-02 22:02:26 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:02:46 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:03:06 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:03:14 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 22:04:05 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 22:05:46 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 22:06:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 22:06:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:06:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:07:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:07:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:07:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:08:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:08:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:08:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:09:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:09:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:09:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:10:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:10:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:10:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:11:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:11:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:11:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:12:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:12:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:12:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:13:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:13:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:13:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:14:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:14:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:14:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:15:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:15:06 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 22:15:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:15:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:16:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:16:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:16:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:17:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:17:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:17:41 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:18:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:18:21 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:18:46 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:19:01 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
