2017-02-03 11:46:10 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:46:21 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:46:42 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:47:01 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:47:22 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:47:50 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:48:01 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:48:22 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:48:42 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:49:02 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:49:22 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:49:44 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:50:02 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:50:22 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:50:42 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:51:02 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:51:22 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:51:42 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:52:02 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
